Year,Total Population USA
1990," 249,623,000 "
1991," 252,981,000 "
1992," 256,514,000 "
1993," 259,919,000 "
1994," 263,126,000 "
1995," 266,278,000 "
1996," 269,394,000 "
1997," 272,657,000 "
1998," 275,854,000 "
1999," 279,040,000 "
2000," 282,162,411 "
2001," 284,968,955 "
2002," 287,625,193 "
2003," 290,107,933 "
2004," 292,805,298 "
2005," 295,516,599 "
2006," 298,379,912 "
2007," 301,231,207 "
2008," 304,093,966 "
2009," 306,771,529 "
2010," 309,326,085 "
2011," 311,580,009 "
2012," 313,874,218 "
2013," 316,057,727 "
2014," 318,386,421 "
2015," 320,742,673 "
2016," 323,071,342 "
2017," 325,147,121 "